"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 1:43:55;47,8400001525879;25.05.2020 1:43:55;46,1000022888184;25.05.2020 1:43:55;54;25.05.2020 1:43:55;530;25.05.2020 1:43:55;87,4099960327148
25.05.2020 1:44:55;47,75;25.05.2020 1:44:55;46,1000022888184;25.05.2020 1:44:55;54;25.05.2020 1:44:55;532;25.05.2020 1:44:55;87,7599945068359
25.05.2020 1:45:55;47,75;25.05.2020 1:45:55;46,1000022888184;25.05.2020 1:45:55;54;25.05.2020 1:45:55;531;25.05.2020 1:45:55;87,6899948120117
25.05.2020 1:46:55;48,0099983215332;25.05.2020 1:46:55;46,1000022888184;25.05.2020 1:46:55;54;25.05.2020 1:46:55;531;25.05.2020 1:46:55;88,1500015258789
25.05.2020 1:47:55;47,7799987792969;25.05.2020 1:47:55;46,1000022888184;25.05.2020 1:47:55;54;25.05.2020 1:47:55;531;25.05.2020 1:47:55;87,7299957275391
25.05.2020 1:48:55;48,1499977111816;25.05.2020 1:48:55;46,1000022888184;25.05.2020 1:48:55;54;25.05.2020 1:48:55;531;25.05.2020 1:48:55;87,4099960327148
25.05.2020 1:49:55;47,7899971008301;25.05.2020 1:49:55;46,1000022888184;25.05.2020 1:49:55;55;25.05.2020 1:49:55;531;25.05.2020 1:49:55;87,7599945068359
25.05.2020 1:50:55;47,6199989318848;25.05.2020 1:50:55;46,1000022888184;25.05.2020 1:50:55;55;25.05.2020 1:50:55;531;25.05.2020 1:50:55;87,5099945068359
25.05.2020 1:51:55;47,7599983215332;25.05.2020 1:51:55;46,1000022888184;25.05.2020 1:51:55;55;25.05.2020 1:51:55;531;25.05.2020 1:51:55;87,9399948120117
25.05.2020 1:52:55;47,8999977111816;25.05.2020 1:52:55;46,1000022888184;25.05.2020 1:52:55;54;25.05.2020 1:52:55;530;25.05.2020 1:52:55;87,7999954223633
25.05.2020 1:53:55;47,9699974060059;25.05.2020 1:53:55;46,1000022888184;25.05.2020 1:53:55;54;25.05.2020 1:53:55;531;25.05.2020 1:53:55;88,1899948120117
